CODE,Q1,A1,P/F,Q2
38,지각에 대해 설명해 주세요.,"일반적으로 대륙지각은 해양지각에 비해 두껍게 분포합니다. 대륙지각의 평균 두께는 약 35-40 km이지만, 지역에 따라서는 변화가 있으며, 대륙이 충돌하여 만들어진 대륙산맥이 분포하는 유럽의 알프스, 북미의 시에라 네바다, 그리고 지구 역사상 비교적 오랫동안 지구조적 영향으로부터 안정적이었던 순상지에 분포하는 지각들은 다른 지역보다 상대적으로 더 두꺼운 양상을 보입니다.",P,북미의 시에라 네바다 지역에 대해 설명해 주세요.
38,암석학에 대해 설명해 주세요.,"암석학은 암석의 화학 조성, 광물 조성, 조직과 구조 등과 같은 성질을 기술하고, 자연에서의 산출 상태 등을 조사하며, 그 자료를 근거로 암석의 생성 원인, 생성 과정, 생성 조건 등을 궁극적으로 규명하는 지질학의 한 분야를 말합니다. 암석학은 대상 암석의 종류에 따라 크게 화성암석학, 퇴적암석학, 변성암석학의 연구 영역으로 나누어집니다.",P,변성암석학에 대해 설명해 주세요.
38,암석학에 대해 설명해 주세요.,"예전에는 암석의 여러 성질을 조사하는 부문을 암석기재학, 성인을 고찰하는 부문을 암석성인론이라 하여 구별했으나, 최근에는 양자를 합하여 암석학이라고 합니다. 암석학은 초기에 화학분석법과 편광현미경의 발명과 함께 암석의 기재와 분류법이 발전되었고 그 후 열역학적 상평형 연구, 고온 및 고압하의 실험암석학적 연구, 방사성 동위원소 분석 등으로 암석의 성인을 규명하는 측면으로 개척되어 왔습니다.",P,편광현미경에 대해 설명해 주세요.
38,암석학에 대해 설명해 주세요.,"암석학이란 암석의 종류를 구분하고 그 특성을 파악하는 학문이다. 최근에는 암석학이 단독으로 연구되는 케이스는 거의 없으며 지질학,지리학,지구과학 분야에 통합되어 독립적인 학문의 위치는 잃었으나 각 학문에서 기초적인 역할을 하고 있다.",F,
38,암석학에 대해 설명해 주세요.,암석학은 암석이 여러 성질을 조사하는 부문에서 현재는 암석의 조직과 유래에 대해서 연구가 활발하게 진행되고 있다. 이와 더불어 암석학은 고고학에서도 널리 사용되는데 암석학을 참고하여 고고학에서는 각 유물이 어떤 암석으로 이뤄졌는지를 파악할 수 있다. 또한 암석학은 현재 가장 인기있는 자연과학 분야로 평가받는다.,F,
38,암석학에 대해 설명해 주세요.,"암석학은 암석의 생성에 대해 주목한다. 암석 생성의 원인, 과정, 조건 등을 규명하는 것을 궁극적으로 목표로 두고 있으며, 이러한 규명이 끝나면 암석학 독단적으로는 그 이상의 연구를 진행할 수 없다는 한계를 지니고 있기 때문에, 다른 연구와 통섭되어 연구가 진행되어 독립적이지 못한 학문분야이다.",F,
38,광물학에 대해 설명해 주세요.,"광물학이란 자연과학의 한 분과로서, 지구를 구성하고 있는 고체로서 무생물계의 기본 구성 물질단위인 광물에 관하여 연구하는 학문입니다. 즉, 광물학은 광물의 산출 상태, 결정구조, 물리화학적 특성, 성인, 활용 등에 대해 연구하는 학문이며, 무기화학, 고체물리학, 재료공학 등과도 밀접히 관련되는 학문입니다.",P,무생물계에 대해 설명해 주세요.
38,광물학에 대해 설명해 주세요.,"광물학은 인류생활의 터전인 대자연의 기본물질 단위인 동시에, 인류의 문화생활에 있어서 필수적인 원료 물질인 광물에 관하여 연구하는 학문입니다. 따라서 광물학은 순수 학문적인 면에도 중요하지만, 다방면의 응용적 측면이 많아 더욱 중요하며 다양한 연구분야를 가집니다.",P,광물학의 응용적 측면에 대해 설명해 주세요.
38,광물학에 대해 설명해 주세요.,광물학이란 암석학의 파생 학문으로써 암석 중 광물에 한정하여 그 특성을 정의하고 생성 과정을 연구하는 학문을 말한다. 광물의 경우 그 지역이 한정적이기 떄문에 대학에서는 해당 지역을 포함할 때만 광물학과를 배치할 수 있다는 특징이 있다.,F,
38,광물학에 대해 설명해 주세요.,"광물학은 다양한 파생범위를 지닌다. 광물화학, 광물생성학, 고에너지광물학, 의료광물학, 약용광물학, 합성광물학 등이 있는데 광물 자체의 특성 상, 해당 분야들이 활발하게 연구되는 것이 제한적이라는 한계를 지니고 있다.",F,
38,광물학에 대해 설명해 주세요.,광물학은 광물의 형태와 결정구조 물리화학적인 특성 등을 파악하는 학문으로 현재에는 화학공학과 주로 밀접하게 연관되어 있다. 그러나 현재 우리나라에서는 광물학에 대한 연구가 부족하고 그 수요가 적어 광물학을 주전공으로 하는 대학이 존재하지 않는다.,F,
38,광물학에 대해 설명해 주세요.,"광물학은 결정학, 광물화학, 광물물리학, 광물광학, 광물생성학, 점토광물학, 토양광물학, 응용광물학, 산업광물학, 환경광물학, 보석광물학, 생광물학, 우주광물학, 해양광물학, 열광물학, 분광광물학, 고에너지광물학, 의료광물학, 약용광물학, 합성광물학, 광물공학 등으로 매우 광범위 합니다.",P,우주광물학에 대해 설명해 주세요.
38,대륙지각과 해양지각을 비교해서 설명해 주세요.,"대륙지각과 해양지각은 그 성분에도 차이를 보이는데, 대륙지각은 해양지각에 비해 상대적으로 SiO2 성분이 더 많이 포함된 규산질 암석으로 구성되어 있습니다. 반면 해양지각은 상대적으로 SiO2 성분이 적습니다. 또한 대륙지각은 해양지각에 비해 지역에 따라 조성의 차이가 크며, 화성암, 퇴적암, 변성암 등 다양한 암석들을 볼 수 있습니다.",P,규산질암석에 대해 설명해 주세요.
38,대륙지각과 해양지각을 비교해서 설명해 주세요.,"대륙 지각은 지표면의 화산활동으로 분출하여 형성된 화성암들과 대륙간 충돌 과정에서 형성된 변성암, 그리고 이들이 풍화와 침식과정을 거쳐 형성된 퇴적암들로 암석의 윤회과정 동안 형성될 수 있는 다양한 종류의 물질들을 포함할 수 있습니다. 간혹 해양지각이 대륙지각의 일부로 포함되어 오랫동안 남아있는 구조들도 있는데, 이들을 오피올라이트라고 합니다.",P,오피올라이트에 대해 설명해 주세요.
38,대륙지각과 해양지각을 비교해서 설명해 주세요.,대륙지각과 해양지각은 그 성분에서 차이가 있다. 대륙지각은 상대적으로 해양지각보다 두껍기 떄문에 SiO2성분이 해양지각보다 표면적 대비 적게 함유되어 있다는 특징을 지닙니다. 또한 해양지각에 비해 한정적인 지각이 분포되어 있습니다.,F,
38,대륙지각과 해양지각을 비교해서 설명해 주세요.,"대륙지각과 해양지각은 현재로서는 비교하기가 어렵다. 이전에는 두 대상을 구분하여 설명하였지만, 결국 지각이 구성되는 원리와 구성원소가 동일하다고 고려되어서 현재는 지각으로써 통합하여 설명되고 있기 때문입니다,",F,
38,대륙지각과 해양지각을 비교해서 설명해 주세요.,"해양지각은 파도의 세기, 물의 온도, 식생의 종류에 따라서 지속적으로 영향을 받기 때문에 대륙지각보다 변수가 많아 조성이 대륙지각보다 불균형적이라는 특징을 지닙니다. 또한, 해양지각은 대륙지각보다 표면적이 지구상에서 적기 때문에 연구에도 한계가 존재합니다./",F,
38,대륙지각과 해양지각을 비교해서 설명해 주세요.,"해양지각은 대양저 중앙 해령에서 형성되었기 때문에, 대륙지각과는 성인이 다르며, 비교적 조성이 균질합니다. 대륙지각은 해양지각에 비해 지체 구조의 오랜 변화를 겪어왔기 때문에, 해양지각에 비해 복잡하고 오래된 연대의 층서들로 구성됩니다. 해양지각은 섭입 과정을 통해 다른 지각과의 충돌로 인하여 지구 내부로 다시 들어가기 때문에 대륙지각 만큼 오래될 수 없습니다.",P,섭입과정에 대해 설명해 주세요.
38,구조지질학에 대해 설명해 주세요.,"구조지질학은 지구의 역사를 연구하는 지질학의 한 분야로, 암석 내에 기록되어 있는 변형을 이해하고 궁극적으로 변형을 야기한 응력을 규명하고자 하는 학문입니다. 이러한 응력이 지판과 지판 사이의 운동에 의한 것으로 해석될 때 지구조학의 영역으로 확대될 수 있습니다.",P,응력에 대해 설명해 주세요.
38,구조지질학에 대해 설명해 주세요.,"구조지질학 연구는 지질구조를 파악함으로서 석유, 석탄 및 각종 광상의 분포와 산상 그리고 채산성의 평가에 유용한 자료를 제공할 수 있습니다. 또한 지진에 의한 단층 작용 연구와 같은 지질재해의 평가와, 지반암석의 단층, 절리 등의 구조를 조사함으로서 기초지반을 평가하여 토목시공에 응용할 수 있습니다.",P,절리 구조에 대해 설명해 주세요.
38,구조지질학에 대해 설명해 주세요.,"구조지질학은 지질학의 파생분야로서 암석 내에 존재하는 지질의 구조를 파악하는 학문입니다. 지질의 구조와 형성 원인 등을 파악하고 미래의 지질의 구조를 예측하는 것으로 현재에는 건축학과 접목하여 사용되고 있습니다. 다만, 그 사용 범위가 한정적이라는 한계를 지닙니다.",F,
38,구조지질학에 대해 설명해 주세요.,구조지리학은 도시의 발전의 기원을 다루는 지질학으로 도시의 기능 및 구조 이론을 연구하는 학문이다. 도시화에 따른 도시권의 형성과 주변지역과 상관성을 학습하기 때문에 가장 유용한 사회과학 분야로서 각광받고 있습니다.,F,
38,구조지질학에 대해 설명해 주세요.,"구조지질학은 지구의 역사를 연구하는 학문의 종류입니다. 지질 구조를 파악함으로써 석유,석탄의 분포를 파악할 수 있어서 굉장히 경제적인 학문 분야로 여겨지지만, 다양한 학문 분야가 응용되기 떄문에 쉽게 접근할 수 없다는 한계를 지닙니다.",F,
38,구조지질학에 대해 설명해 주세요.,"주로 습곡과 단층 등을 다룹니다. 조산운동의 과정 등과 같이 큰 구조를 다루는 분야도 있는데, 특히 이것을 지체구조론이라 부릅니다. 연구대상은 지각을 이루고 있는 암석의 분포상태와 그들의 변형 및 지각운동 일반입니다. 암석의 변형이나 지각운동의 원인은 지각이나 맨틀 내부의 역학적 과정에 있습니다.",P,조산운동에 대해 설명해 주세요.
38,모호로비치치불연속면에 대해 설명해 주세요.,"지각과 맨틀의 경계부를 의미합니다. 이는 지각의 최하단부에 해당하며 지진의 속도가 급격하게 증가하는 곳입니다. 모호면을 경계로 하여 지각에서 P파의 속도는 약 6 km/s이지만, 모호면 하부 맨틀에서는 약 8 km/s에 이릅니다. 해양지각은 모호면을 뚜렷하게 보이는 경우가 많지만, 대륙지각의 경우 모호면이 확실하지 않은 경우도 있으며, 지각 두께의 변화에 따라 모호면 깊이에 차이가 있습니다.  ",P,P파에 대해 설명해 주세요.
38,모호로비치치불연속면에 대해 설명해 주세요.,1909년 유고슬라비아의 지진학자 안드리야 모호로비치치는 지하 약 50km 부근에서 지진파의 속도가 빨라진다는 사실을 알아냈습니다. 그는 같은 장소에서 동시에 출발한 P파 중 일부는 빨리 도착하고 일부는 늦게 도착하는 것을 관측하였습니다. 이를 바탕으로 지각 아래에 성분이 다른 물질로 이루어진 불연속면이 있다는 가설을 세웠습니다.,P,지진파에 대해 설명해 주세요.
38,모호로비치치불연속면에 대해 설명해 주세요.,"지질학자 안드리야 모호로치치가 발견한 면으로 맨틀과 외핵 사이에 존재하는 불연속면을 말합니다. 지진파를 통해서 발견되 었으며 ,P파의 전달 속도가 다름에 따라서 불연속적인 면이 있다는 가설을 세우게 되었고 현재는 시추를 통해서 존재가 증명되었습니다.",F,
38,모호로비치치불연속면에 대해 설명해 주세요.,"지각과 맨틀 사이에 존재하는 불연속면으로써 항상 존재하지 않기 때문에, 불연속면으로 여겨집니다. 즉 지각과 맨틀의 사이더라도 어떤 지역에서는 모호로비치치불연속면이 존재하기도 하며 어떤 지역에서는 존재하지 않습니다. 주로 이 불연속면의 폭은 1~2km정도 입니다.",F,
38,모호로비치치불연속면에 대해 설명해 주세요.,"지질학자 안드리야 모호로비치치가 발견한 불연속면을 의미합니다. 이는 지진파의 실험을 통해 알게 되었는데 P파의 속도변화를 통해 측정되었습니다. 보통 P파의 속도는 16km/s인데, 해당 불연속면을 지나면 그 속도가 절반으로 감소되기 떄문에 쉽게 발견되었습니다.",F,
38,모호로비치치불연속면에 대해 설명해 주세요.,"지각과 맨틀의 불연속면을 모호로비치치불연속면이라 하고, 줄여서 모호면이나 M-불연속면이라고도 합니다. 이후 더 많은 연구를 통해 모호면은 대륙에서 평균 지하 35km에, 해양에서 평균 지하 5km의 위치에 있음이 밝혀졌습니다. 지각과 맨틀의 경계에서 굴절하여 밀도가 더 높은 맨틀을 통과한 P파는 더 빨리 도착하고, 밀도가 상대적으로 낮은 지각을 통과한 P파는 늦게 도착합니다.",P,밀도에 대해 설명해 주세요.
38,구텐베르그불연속면에 대해 설명해 주세요.,"지구 내부의 맨틀과 외핵의 경계를 이루는 면으로 약 2900km의 깊이에 있습니다. 지진파 P파는 깊이에 따라 속도가 증가하다가 구텐베르크불연속면에서 급속히 느려지고 S파는 전파되지 못하는데, 액체에서는 P파만 통과하는 성질을 이용하여 외핵이 액체임을 알 수 있습니다.",P,S파에 대해 설명해 주세요.
38,구텐베르그불연속면에 대해 설명해 주세요.,"진앙에서보다 먼 거리까지의 주시곡선을 보면 진앙으로부터의 각거리가 103도 이상 되는 지역에서는 S파가 관측되지 않습니다. 이 지역을 S파의 암영대라고 합니다. 또 103~143도 사이에는 P파와 S파가 모두 관측되지 않는 암영대가 존재합니다. 이것은 지하 약 2,900km 깊이에 액체상태의 불연속면이 있어서 S파가 전달되지 못하고 P파가 급격하게 굴절하기 때문이라고 해석할 수 있습니다.",P,S파의 암영대에 대해 설명해 주세요.
38,구텐베르그불연속면에 대해 설명해 주세요.,지질학자 구텐베르크가 발견한 불연속면으로 외핵과 내핵 사이에 존재하는 불연속면을 말합니다. 액체상태는 P파가 지나갈 수 없는데 내핵과 외핵은 모두 고체이기 때문에 구텐베르크는 해당 두 핵 사이에 액체상태의 또다른 면이있다는 가설을 세웠고 이게 구텐베르크불연속면이라고 불리게 되었습니다.,F,
38,구텐베르그불연속면에 대해 설명해 주세요.,"구텐베르크불연속면은 구텐베르크의 지진파 실험 도중 우연히 발견되었습니다. 멘틀과 외핵 사이를 지나는 P파가 특정 단면을 지날 때 관측이 되지 않는 것으로 파악하고 P파가 전달되지 못하는 진공, 혹은 기체상태의 불연속면이 존재한다는 가설을 통해 세상에 알려지게 되었습니다.",F,
38,구텐베르그불연속면에 대해 설명해 주세요.,"S파는 액체상태를 통과하지 못하고 P파의 경우 액체상태에 굴절폭이 급격하게 감소한다는 것을 토대로 발견된 불연속면을 말합니다. 지하 2,900km에 액체 상태의 불연속면으로 해당 지역에 P파가 진입하게 되면 급격하게 53~102도 사이에서 굴절하게 됨을 통해 관측할 수 있습니다.",F,
38,퇴적물에 대해 설명해 주세요.,"기존 암석의 쇄설물, 화산분출물, 풍화잔유물, 생물의 유해 및 파편 등이 생성장소 또는 다른 장소에 기계적으로 운반 ? 침적해 형성된 쇄설성퇴적물, 수중환경에서 용해물질이 침전해 생긴 화학적 퇴적물, 생물유해의 집적이나 생물의 생리작용의 결과로 생긴 생물암 등으로 이루어져 있습니다.",P,풍화잔유물에 대해 설명해 주세요.
38,퇴적물에 대해 설명해 주세요.,"물에 의해 퇴적되는 경우가 가장 많지만 바람에 의해서 퇴적되거나 빙하에 의해 퇴적되는 경우도 빈번합니다. 바람에 의해 퇴적되는 경우 사막의 모래언덕이나 황토가 있고, 우리나라에도 중국의 황사가 매년 조금씩 쌓이는 것을 목격할 수 있습니다. 빙하의 경우 빙퇴석이나 빙력토가 여기에 속합니다.",P,빙력토에 대해 설명해 주세요.
38,퇴적물에 대해 설명해 주세요.,"퇴적물이란 침식을 통해 발생하는 잔해물이 한 지역에 집중적으로 퇴적될 경우 발생합니다. 즉 퇴적물이 형성되기 위해서는 침식이 충분조건으로 존재해야하며, 해당 침식은 퇴적지역에서 멀리떨어져있지 않다는 것을 토대로 퇴적물을 통해 침식지역을 유추할 수 있습니다.",F,
38,퇴적물에 대해 설명해 주세요.,"퇴적물은 바람을 통해 침식물질이 운반되어 특정 지역에 쌓이는 것으로, 바람이 반드시 존재해야 합니다. 따라서 바람이 불지 않는 지역이나, 바다와 같이 바람이 존재할 수 없는 지역에서는 퇴적물이 발견될 수 없습니다.",F,
38,퇴적물에 대해 설명해 주세요.,"퇴적물은 그 종류에 따라서 화학퇴적물과 물리퇴적물로 나뉩니다. 물리퇴적물은 바람이나 인위적인 파손 분리를 통해서 침적된 물질이 쌓일 때 발생하고 화학퇴적물은 자연적, 인위적인 화학반응을 통해서 부식,결합되어퇴적물이 형성되는 것을 말합니다.",F,
38,퇴적물에 대해 설명해 주세요.,"각각의 퇴적물들은 각각 다른 퇴적 속도 퇴적입자의 크기, 밀도, 형태 등을 가지고 있으며 퇴적되는 환경에 따라 퇴적되는 물질, 양, 매커니즘이 다릅니다. 퇴적물들이 쌓이는 곳은 바다, 호수 등의 유속이 급격히 줄거나 빙하의 언저리, 경사가 완만해지는 곳이나 바람이 잦아지는 분지와 같은 곳입니다.",P,분지에 대해 설명해 주세요.
38,환경광물학에 대해 설명해 주세요.,환경지질학은 환경과학의 한 분야로서 지속 가능한 사회를 유지하기 위하여 지질학적 지식을 어떻게 응용하고 활용하느냐를 연구하는 분야입니다. 또는 환경지질학이란 “인간의 물리적 환경의 점유와 개발에 의하여 발생된 문제점을 해결하기 위한 지질학적 원리와 지식을 응용하는 학문분야”이라도 할 수 있습니다.,P,환경과학의 특징에 대해 설명해 주세요.
38,환경광물학에 대해 설명해 주세요.,광물학과 지구과학의 한 분야로서 환경에 존재하는 광물의 생성과 환경과 인간의 건강에 미치는 영향에 중점을 두어 광물을 연구하는 학문입니다. 지구환경시스템을 이해하고 자연환경을 쾌적하게 유지하는 주요 수단으로서 환경광물학의 중요성은 갈수록 높아지고 있습니다.,P,지구환경시스템에 대해 설명해 주세요.
38,환경광물학에 대해 설명해 주세요.,"환경광물학은 환경지질학의 한 분야로서 광물이 어떤 방식으로 환경친화적으로 사용될 수 있는지를 고민하는 학문입니다. 따라서 환경광물학은 아이러니 하게도 지질학보다 의학이나, 지리학, 사회복지학에 더 주안점을 둔 특이한 학문입니다.",F,
38,환경광물학에 대해 설명해 주세요.,"인간은 현대사회에서 사회활동을 하며 다양한 광물을 마주하며 살아가고 있습니다. 따라서 광물에 대한 이해도가 높아야 하는데, 환경광물학은 이러한 사회에서 광물에 대한 지식을 전파하기 위해서 환경에 관련된 광물에 대한 소개를 하는 학문을 말합니다",F,
38,환경광물학에 대해 설명해 주세요.,"지구환경을 토지이용과 지구 시스템의 관점에서 과학적으로 접근한 학문을 말합니다. 지구의 통합적 행성으로서의 개념, 공간 규모 분포의 원칙등 광물학의 전통적인 주제에 관해서 주로 논의합니다.",F,
38,환경광물학에 대해 설명해 주세요.,"인간이 일상생활을 영위하고 있는 지구환경 중에서 지권은 다양한 종류의 암석과 광물로 구성되어 있습니다. 이 지권은 위로는 공기로 구성된 대기권과, 옆으로는 수계를 이루고 있는 수권, 그리고 동식물을 포함하는 생물권과 밀접하게 평형을 이루며 공존하고 있습니다.",P,수권에 대해 설명해 주세요.
38,고생물학에 대해 설명해 주세요.,"고생물학은 지질 시대에 쌓인 퇴적물 중에 보존되어 있는 화석들을 근거로 하여 지질 시대의 고생물을 연구하는 학문입니다. 고생물학은 대상으로 하는 생물의 중류에 따라 동물을 대상으로 하는 고동물학, 식물을 대상으로 하는 고식물학, 미생물을 대상으로 하는 미고생물학 등으로 구분합니다.",P,미고생물학에 대해 설명해 주세요.
38,고생물학에 대해 설명해 주세요.,"주로 고생물과 그 식생 및 생활환경과의 상호관계를 연구대상으로 하는 고생태학, 고생물의 지리적 분포상태를 연구대상으로 하는 고생물지리학 등의 분야도 포함됩니다. 고생물학은 지질학적 시간의 척도로 과거 지구상에 생존했던 생물의 분류, 생태, 역사, 진화를 규명하는 것을 목적으로 합니다.",P,고생태학에 대해 설명해 주세요.
38,고생물학에 대해 설명해 주세요.,고생물학은 고대로부터 존재했던 생물에 대한 연구로 생물학의 한 분야입니다. 주로 1억 년 이상 생존에 있는 종을 토대로 연구를 진행하며 각 생물이 현재까지 존재할 수 있는 원인과 그 특징을 통해 다양한 분야로 확장될 수 있는 학문입니다.,F,
38,고생물학에 대해 설명해 주세요.,고생물학은 퇴적물에 존재하는 과거의 생물을 연구하는 학문입니다. 우리에게 흔히 알려져있는 것으로는 화석을 통해 그 생물이 생존해 있던 시대의 지질과 기후 등을 연구하는 것으로 잘알려져 있습니다. 또한 고생물학은 현재 해당 생물을 복원하여 동물원 등에도 고생물 전시를 가능하게 했습니다.,F,
38,고생물학에 대해 설명해 주세요.,"고생물학은 생물학의 분야지만, 지질학적 지식이 필요로 합니다. 주로 생물의 종을 파악하는데 주력을 맞추고 있지만, 그 종의 종류가 굉장히 협소하기 떄문에 연구가 진척되는데 어려움이 있으며, 경제적 가치 또한 전무하다는 특징을 지닙니다.",F,
38,고생물학에 대해 설명해 주세요.,"고생물학은 주로 화석의 관찰, 기재, 분류를 통해서 과거 생물을 복원하고 진화, 행동, 각 생물들 및 서식 환경 간의 상호작용에 대해 연구합니다. 생물에 대해서 연구한다는 측면에서 생명 생물학 관련 지식이 필요하며, 지질 시대에 살았던 오래된 생물을 연구하기 때문에 지질학적 지식이 동시에 필요합니다",P,과거 생물을 복원하는 이유를 설명해 주세요.
38,지구화학에 대해 설명해 주세요.,"지구화학이란 화학적 원리와 도구를 이용해 지구 내 다양한 시스템의 생성 및 변화 과정을 규명하는 지질학의 한 분야입니다. 지구화학을 통해 지질 연령을 측정하고, 마그마 방의 깊이 및 온도를 유추하고, 변성암의 생성 온도 및 압력을 규명하고, 지각이 언제 그리고 어떻게 생성됐는지를 연구합니다.",P,마그마방에 대해 설명해 주세요.
38,지구화학에 대해 설명해 주세요.,"지구화학은 대기의 형성 및 진화, 맨틀의 대류, 빙하기의 생성, 생명의 기원 등에 대해 중요한 실마리를 제공합니다. 광산, 석유 등의 지하 자원의 탐사에 지구화학적 탐사기법이 사용되고 있으며 행성 연구에 지구화학적 장비가 이용되고 있습니다. 최근에 지구화학은 산성비, 오존의 구멍, 온실효과, 지구 온난화, 지하수 및 토양 오염 등의 환경문제로 그 영역을 넓혀가고 있습니다.",P,행성연구에 지구화학이 활용되는 예제를 설명해 주세요.
38,지구화학에 대해 설명해 주세요.,"지구화학이란 지구를 구성하는 화학물질을 통합적으로 공부하는 학문입니다. 단 이때 지구화학의 연구 대상은 인위적인 화학물은 제외되고 지구에 워래 존재했던 화학물질만을 포함합니다. 따라서 카드뮴,이리듐과 같은 인위적인 화학물질은 연구대상이 아닙니다.",F,
38,지구화학에 대해 설명해 주세요.,지구화학은 환경문제로 그영역을 높여가고 있습니다. 화학공학이 환경문제를 일으키는 주범으로 평가받고 있느네 지구화학은 그에 대한 해결책을 찾고 있습니다. 또한 지구화학 자체의 연구 방법에서 환경오염을 일으키는 경우가 존재합니다,F,
38,지구화학에 대해 설명해 주세요.,"지구화학이란 지구에 존재하는 화학물질을 파악하는 학문으로서 지구과학의 일종입니다. 하지만 화학적 지식이 없이는 지구화학을 연구할 수 없기 떄문에, 지구화학은 화학에서도 연구 분야로 확장되고 있습니다. 지구화학은 주로 대기에 존재하는 화학물질을 다룹니다",F,
38,지구화학에 대해 설명해 주세요.,화학적인 방법으로 지구를 연구하는 학문으로 화학지질학적 연구방법을 개척한 미국의 클라크가 선구자입니다. 연구의 최소단위는 화학원소 또는 핵종입니다. 지구화학의 연구에서 여러 분야의 지식이 없이 지구 전반에 걸친 화학적인 자료를 수집하는 것은 매우 어려운 일입니다ㅏ.,P,클라크의 업적에 대해 설명해 주세요.
38,지구물리학에 대해 설명해 주세요.,"지구물리학이란 물리학적 원리에 입각하여 지구와 이를 둘러싼 환경에 대해 정량적으로 연구하는 학문이라 할 수 있습니다. 협의의 지구물리학은 고체지구물리학으로 지구표면으로부터 내핵까지의 지구 내부를 주된 연구대상으로 하며 지진학, 중력 및 측지학 등을 포함합니다.",P,측지학에 대해 설명해 주세요.
38,지구물리학에 대해 설명해 주세요.,"광의의 지구물리학은 고체지구물리학에 더하여 수문학, 물리해양학, 대기학, 우주물리학 그리고 화산학을 포함하며, 물리학적 원리를 적용한다는 관점에서는 지질공학도 포함됩니다. 연구 성격에 따라 지구 전체 또는 그 주요 부분을 연구하는 순수지구물리학과 실용적이면서 흔히 경제적인 목적을 달성하기 위해 지각 및 지표 근처를 조사하는 학문인 응용지구물리학으로 다시 구분 가능합니다.",P,지질공학에 대해 설명해 주세요.
